n matvec0 matvec1 matvec2_row matvec2_col
127 3.62528 0.0911901 0.209215 0.951921
128 4.28799 0.103237 0.216997 1.10908
129 4.66336 0.0980092 0.220985 1.14023
255 5.0064 0.0949638 0.385816 1.41891
256 3.94526 0.0912781 0.334381 1.45342
257 5.17012 0.0941383 0.375377 1.44318
383 3.17779 0.0968315 0.46777 1.60341
384 10.9326 0.0925526 0.425055 1.64515
385 6.04452 0.0971033 0.490253 1.67312
511 9.87465 0.0874672 0.540611 1.62956
512 3.7039 0.0724903 0.361632 1.65841
513 8.87915 0.0916084 0.530012 1.73403
639 3.02005 0.0759187 0.405206 1.6469
640 3.10012 0.0780003 0.429858 1.70801
641 2.84727 0.074387 0.408188 1.66996
767 2.37321 0.0686487 0.397845 1.65611
768 2.5344 0.071951 0.402343 1.57686
769 1.95954 0.069751 0.391831 1.63881
895 2.39548 0.0674599 0.362567 1.68098
896 2.38043 0.07383 0.33921 1.70792
897 2.38412 0.0655267 0.239881 1.55876
1023 2.07682 0.0653272 0.253154 1.73972
1024 2.34597 0.0374451 0.164016 1.68207
1025 2.43755 0.0682194 0.252302 1.471
